Symbol,Name,IPO Year,Market Cap,Volume,Sector,Industry
ACIW,ACI Worldwide Inc. Common Stock,,4526844557,577494,Technology,Computer Software: Prepackaged Software
ACKIU,Ackrell SPAC Partners I Co. Units,2020,0,63691,Finance,Business Services
ACLS,Axcelis Technologies Inc. Common Stock,2000,1211215577,438949,Technology,Industrial Machinery/Components
ACMR,ACM Research Inc. Class A Common Stock,2017,1693778306,165322,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,,222195581,23120,Finance,Major Banks
ACOR,Acorda Therapeutics Inc. Common Stock,2006,65434328,567491,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACRS,Aclaris Therapeutics Inc. Common Stock,2015,986036696,2443739,Health Care,Major Pharmaceuticals
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,2011,256074629,6455816,Health Care,Major Pharmaceuticals
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,2020,808912500,2064577,Finance,Business Services
ACTCU,ArcLight Clean Transition Corp. Unit,2020,0,126040,Finance,Business Services
ACTCW,ArcLight Clean Transition Corp. Warrant,2020,0,503534,Finance,Business Services
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,,278921704,542682,Miscellaneous,Multi-Sector Companies
ADBE,Adobe Inc. Common Stock,1986,2.22916E+11,2998615,Technology,Computer Software: Prepackaged Software
ADERU,26 Capital Acquisition Corp. Unit,2021,0,534875,Finance,Business Services
ADES,Advanced Emissions Solutions Inc. Common Stock,,96263534,79611,Basic Industries,Major Chemicals
ADI,Analog Devices Inc. Common Stock,,55118705486,4351025,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,2018,30945165,248671,Health Care,Major Pharmaceuticals
ADILW,Adial Pharmaceuticals Inc Warrant,2018,0,5300,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc Common Stock,,205169273,3304782,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADMP,Adamis Pharmaceuticals Corporation Common Stock,,131120679,13778678,Health Care,Major Pharmaceuticals
ADMS,Adamas Pharmaceuticals Inc. Common Stock,2014,153155187,820982,Health Care,Major Pharmaceuticals
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,2020,124086130,62834,Finance,Business Services
ADOCR,Edoc Acquisition Corp. Right,2020,0,71770,Finance,Business Services
ADOCW,Edoc Acquisition Corp. Warrant,2020,0,108687,Finance,Business Services
ADP,Automatic Data Processing Inc. Common Stock,,71504734333,2187456,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,2019,7809705011,979880,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSK,Autodesk Inc. Common Stock,,62496966121,1752084,Technology,Computer Software: Prepackaged Software
ADTN,ADTRAN Inc. Common Stock,1994,839233850,397433,Public Utilities,Telecommunications Equipment
ADTX,ADiTx Therapeutics Inc. Common Stock,2020,38681030,1676371,Health Care,Major Pharmaceuticals
ADUS,Addus HomeCare Corporation Common Stock,2009,1800769928,119043,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,2019,3156191583,1002609,Miscellaneous,Business Services
ADVM,Adverum Biotechnologies Inc. Common Stock,2014,1196050189,953502,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,2019,0,134983,Miscellaneous,Business Services
ADXS,Advaxis Inc. Common Stock,,78167435,9527647,Health Care,Major Pharmaceuticals
AEACU,Authentic Equity Acquisition Corp. Unit,2021,0,213213,Finance,Business Services
AEGN,Aegion Corp Common Stock,,577914161,90335,Basic Industries,Water Supply
AEHR,Aehr Test Systems Common Stock,1997,57319328,236608,Capital Goods,Electrical Products
AEIS,Advanced Energy Industries Inc. Common Stock,1995,4093266869,357317,Capital Goods,Industrial Machinery/Components
AEMD,Aethlon Medical Inc. Common Stock,,25748107,469609,Health Care,Medical/Dental Instruments
AEP,American Electric Power Company Inc. Common Stock,,39989140859,2112557,Public Utilities,Electric Utilities: Central
AEPPL,American Electric Power Company Inc. Corporate Unit,,0,204628,Public Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,,0,15572,Public Utilities,Electric Utilities: Central
AERI,Aerie Pharmaceuticals Inc. Common Stock,2013,838921091,1476020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AESE,Allied Esports Entertainment Inc. Common Stock,2017,68115035,3540217,Consumer Services,Services-Misc. Amusement & Recreation
AEY,ADDvantage Technologies Group Inc. Common Stock,,35251943,137681,Consumer Services,Office Equipment/Supplies/Services
AEYE,AudioEye Inc. Common Stock,,245593337,61832,Technology,Computer Software: Prepackaged Software
AFBI,Affinity Bancshares Inc. Common Stock (MD),2017,0,98132,Finance,Savings Institutions
AFIB,Acutus Medical Inc. Common Stock,2020,793891826,335739,Health Care,Medical/Dental Instruments
AFIN,American Finance Trust Inc. Class A Common Stock,,821176742,566788,Consumer Services,Real Estate Investment Trusts
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,,,12233,Consumer Services,Real Estate Investment Trusts
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,,0,14902,Consumer Services,Real Estate Investment Trusts
AFRM,Affirm Holdings Inc. Class A Common Stock,2021,24133883973,2094086,Miscellaneous,Business Services
AGC,Altimeter Growth Corp. Class A Ordinary Shares,2020,875000000,196711,Finance,Business Services
AGCUU,Altimeter Growth Corp. Unit,2020,0,102886,Finance,Business Services
AGCWW,Altimeter Growth Corp. Warrant,2020,0,18717,Finance,Business Services
AGEN,Agenus Inc. Common Stock,2000,697847935,2138667,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AgroFresh Solutions Inc. Common Stock,2014,103457172,228577,Basic Industries,Agricultural Chemicals
AGFY,Agrify Corporation Common Stock,,0,3507477,Consumer Non-Durables,Farming/Seeds/Milling
AGIO,Agios Pharmaceuticals Inc. Common Stock,2013,3147166084,630978,Health Care,Major Pharmaceuticals
AGLE,Aeglea BioTherapeutics Inc. Common Stock,2016,324054843,887955,Health Care,Major Pharmaceuticals
AGNC,AGNC Investment Corp. Common Stock,2008,8534890000,8455652,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,,0,22000,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,,0,98684,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,,0,53063,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,,0,81793,Consumer Services,Real Estate Investment Trusts
AGRX,Agile Therapeutics Inc. Common Stock,2014,247908000,1762833,Health Care,Major Pharmaceuticals
AGTC,Applied Genetic Technologies Corporation Common Stock,2014,102264019,2725509,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGYS,Agilysys Inc. Common Stock,,937278892,257754,Technology,EDP Services
AHAC,Alpha Healthcare Acquisition Corp. Class A Common Stock,2020,128807100,19573,Finance,Business Services
AHACU,Alpha Healthcare Acquisition Corp. Unit,2020,0,126989,Finance,Business Services
AHACW,Alpha Healthcare Acquisition Corp. Warrant,2020,0,33330,Finance,Business Services
AHCO,AdaptHealth Corp. Class A Common Stock,2018,3608784172,449516,Health Care,Medical/Nursing Services
AHPI,Allied Healthcare Products Inc. Common Stock,1992,25646501,266962,Health Care,Industrial Specialties
AIKI,AIkido Pharma Inc. Common Stock,,49586711,8358771,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AIMC,Altra Industrial Motion Corp. Common Stock,2006,3509441413,389457,Capital Goods,Industrial Machinery/Components
AINV,Apollo Investment Corporation Common Stock,2004,796814539,562404,,
AIRG,Airgain Inc. Common Stock,2016,236189200,923283,Technology,Radio And Television Broadcasting And Communications Equipment
AIRT,Air T Inc. Common Stock,,58357523,24229,Transportation,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,,0,3523,Transportation,Air Freight/Delivery Services
AIRTW,Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021,,0,96973,Transportation,Air Freight/Delivery Services
AKAM,Akamai Technologies Inc. Common Stock,1999,18359905967,3647884,Miscellaneous,Business Services
AKBA,Akebia Therapeutics Inc. Common Stock,2014,495045712,8020647,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc. Common Stock,2014,51965985,231758,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKICU,Sports Ventures Acquisition Corp. Unit,2021,0,101816,Finance,Business Services
AKRO,Akero Therapeutics Inc. Common Stock,2019,999294699,531681,Health Care,Major Pharmaceuticals
AKTS,Akoustis Technologies Inc. Common Stock,,592550667,1113163,Public Utilities,Telecommunications Equipment
AKUS,Akouos Inc. Common Stock,2020,537401054,88268,Health Care,Major Pharmaceuticals
ALBO,Albireo Pharma Inc. Common Stock,,708338181,159768,Health Care,Major Pharmaceuticals
ALCO,Alico Inc. Common Stock,,226003463,15372,Consumer Non-Durables,Farming/Seeds/Milling
ALDX,Aldeyra Therapeutics Inc. Common Stock,2014,510049600,677257,Health Care,Major Pharmaceuticals
ALEC,Alector Inc. Common Stock,2019,1328900230,340702,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGM,Allegro MicroSystems Inc. Common Stock,2020,5586342779,426641,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,2001,42309543339,681526,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,2020,1005550466,176723,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,Allegiant Travel Company Common Stock,2006,3078272321,120548,Transportation,Air Freight/Delivery Services
ALIM,Alimera Sciences Inc. Common Stock,2010,38491340,33600,Health Care,Major Pharmaceuticals
ALJJ,ALJ Regional Holdings Inc. Common Stock,,52054889,45977,Miscellaneous,Business Services
ALLK,Allakos Inc. Common Stock,2018,6638523068,272353,Health Care,Major Pharmaceuticals
ALLO,Allogene Therapeutics Inc. Common Stock,2018,4841068046,1035755,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALNA,Allena Pharmaceuticals Inc. Common Stock,2017,86934144,3133195,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,2004,17977812040,829775,Health Care,Major Pharmaceuticals
ALOT,AstroNova Inc. Common Stock,1983,80452853,1567,Technology,Computer peripheral equipment
ALPN,Alpine Immune Sciences Inc. Common Stock,2015,281115591,181707,Health Care,Major Pharmaceuticals
ALRM,Alarm.com Holdings Inc. Common Stock,2015,4698551833,331374,Technology,Computer Software: Prepackaged Software
ALRN,Aileron Therapeutics Inc. Common Stock,2017,145481663,4458260,Health Care,Major Pharmaceuticals
ALRS,Alerus Financial Corporation Common Stock,2019,443969908,22396,Finance,Major Banks
ALSK,Alaska Communications Systems Group Inc. Common Stock,1999,176537915,310561,Public Utilities,Telecommunications Equipment
ALT,Altimmune Inc. Common Stock,,499572624,1894423,Health Care,Major Pharmaceuticals
ALTA,Altabancorp Common Stock,2015,634239289,175303,Finance,Major Banks
ALTM,Altus Midstream Company Class A Common Stock,2017,768944952,41933,Public Utilities,Natural Gas Distribution
ALTR,Altair Engineering Inc. Class A Common Stock,2017,4194784773,361139,Technology,Computer Software: Prepackaged Software
ALTUU,Altitude Acquisition Corp. Unit,2020,0,130922,Finance,Business Services
ALVR,AlloVir Inc. Common Stock,2020,2372662462,349566,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALXN,Alexion Pharmaceuticals Inc. Common Stock,1996,34402557983,2722411,Health Care,Major Pharmaceuticals
ALXO,ALX Oncology Holdings Inc. Common Stock,2020,2881028008,293059,Health Care,Major Pharmaceuticals
AMAL,Amalgamated Bank Class A Common Stock,2018,450839103,48618,Consumer Non-Durables,Textiles
AMAT,Applied Materials Inc. Common Stock,1972,92485914717,7427691,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,2012,3518962302,1025345,Technology,Semiconductors
AMCI,AMCI Acquisition Corp. Class A Common Stock,2018,315974696,536722,Miscellaneous,Industrial Machinery/Components
AMCIU,AMCI Acquisition Corp. Unit,2018,0,130,Miscellaneous,Industrial Machinery/Components
AMCIW,AMCI Acquisition Corp. Warrant,2018,0,722948,Miscellaneous,Industrial Machinery/Components
AMCX,AMC Networks Inc. Class A Common Stock,,1968758835,6239782,Consumer Services,Television Services
AMD,Advanced Micro Devices Inc. Common Stock,,1.05381E+11,46943757,Technology,Semiconductors
AMED,Amedisys Inc Common Stock,,9461575131,200671,Health Care,Medical/Nursing Services
AMEH,Apollo Medical Holdings Inc. Common Stock,,796133328,70133,Consumer Services,Professional Services
AMGN,Amgen Inc. Common Stock,1983,1.44232E+11,5203971,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMHC,Amplitude Healthcare Acquisition Corporation Class A Common Stock,1991,126875000,16598,Finance,Business Services
AMHCU,Amplitude Healthcare Acquisition Corporation Unit,2019,0,0,Finance,Business Services
AMHCW,Amplitude Healthcare Acquisition Corporation Warrants,2020,0,9047,Finance,Business Services
AMKR,Amkor Technology Inc. Common Stock,1998,3931264306,1061459,Technology,Semiconductors
AMNB,American National Bankshares Inc. Common Stock,,314425167,38237,Finance,Major Banks
AMOT,Allied Motion Technologies Inc.,,443487192,45217,Capital Goods,Electrical Products
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,2014,882149633,147881,Health Care,Major Pharmaceuticals
AMRB,American River Bankshares Common Stock,,79562889,2920,Finance,Major Banks
AMRK,A-Mark Precious Metals Inc. Common Stock,,198380047,60082,Basic Industries,Other Specialty Stores
AMRS,Amyris Inc. Common Stock,2010,2339398195,3589189,Basic Industries,Major Chemicals
AMSC,American Superconductor Corporation Common Stock,1991,711331939,324026,Consumer Durables,Metal Fabrications
AMSF,AMERISAFE Inc. Common Stock,2005,1079059713,131322,Finance,Property-Casualty Insurers
AMST,Amesite Inc. Common Stock,2020,86171104,4955,Technology,Computer Software: Prepackaged Software
AMSWA,American Software Inc. Class A Common Stock,,643252220,112623,Technology,Computer Software: Prepackaged Software
AMTB,Amerant Bancorp Inc. Class A Common Stock,,551375233,38138,Finance,Major Banks
AMTBB,Amerant Bancorp Inc. Class B Common Stock,,481269104,64,Finance,Major Banks
AMTI,Applied Molecular Transport Inc. Common Stock,2020,1188375603,38557,Health Care,Major Pharmaceuticals
AMTX,Aemetis Inc. Common Stock,,148128291,3621126,Basic Industries,Major Chemicals
AMWD,American Woodmark Corporation Common Stock,1986,1507302162,167558,Basic Industries,Forest Products
AMZN,Amazon.com Inc. Common Stock,1997,1.62448E+12,3136655,Consumer Services,Catalog/Specialty Distribution
ANAB,AnaptysBio Inc. Common Stock,2017,662637315,460842,Health Care,Major Pharmaceuticals
ANAT,American National Group Inc. Common Stock,,2428183032,31691,Finance,Life Insurance
ANDA,Andina Acquisition Corp. III Ordinary Shares,2019,50535010,307482,Finance,Business Services
ANDAR,Andina Acquisition Corp. III Right,2019,0,953418,Finance,Business Services
ANDAU,Andina Acquisition Corp. III Unit,2019,0,0,Finance,Business Services
ANDAW,Andina Acquisition Corp. III Warrant,2019,0,1620717,Finance,Business Services
ANDE,Andersons Inc. (The) Common Stock,,805664706,229085,Consumer Services,Farming/Seeds/Milling
ANGI,ANGI Homeservices Inc. Class A Common Stock,,7012156091,4780339,Consumer Services,Advertising
ANGO,AngioDynamics Inc. Common Stock,2004,711821194,325250,Health Care,Medical/Dental Instruments
ANIK,Anika Therapeutics Inc. Common Stock,,536740124,110885,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,,364820499,77594,Health Care,Major Pharmaceuticals
ANIX,Anixa Biosciences Inc. Common Stock,,93876548,583903,Health Care,Major Pharmaceuticals
ANNX,Annexon Inc. Common Stock,2020,858164829,93808,Health Care,Major Pharmaceuticals
ANSS,ANSYS Inc. Common Stock,1996,31164773164,420318,Technology,Computer Software: Prepackaged Software
AOUT,American Outdoor Brands Inc. Common Stock ,,276936497,146853,Capital Goods,Ordnance And Accessories
APA,Apache Corporation Common Stock,,5639524039,8284382,Energy,Oil & Gas Production
APDN,Applied DNA Sciences Inc. Common Stock,,73592601,834552,Consumer Services,Other Consumer Services
APEI,American Public Education Inc. Common Stock,2007,406659863,71021,Consumer Services,Other Consumer Services
APEN,Apollo Endosurgery Inc. Common Stock,,112416295,95100,Health Care,Medical/Dental Instruments
APLS,Apellis Pharmaceuticals Inc. Common Stock,2017,3400587888,788777,Health Care,Major Pharmaceuticals
APLT,Applied Therapeutics Inc. Common Stock,2019,483943503,137048,Health Care,Major Pharmaceuticals
APOG,Apogee Enterprises Inc. Common Stock,,929255228,196493,Capital Goods,Auto Parts:O.E.M.
APPF,AppFolio Inc. Class A Common Stock,2015,5399823972,121534,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation Class A Common Stock,2017,15108845515,2010243,Technology,Computer Software: Prepackaged Software
APPS,Digital Turbine Inc. Common Stock,,5417619051,1893559,Miscellaneous,Multi-Sector Companies
APRE,Aprea Therapeutics Inc. Common stock,2019,114620734,1389072,Health Care,Major Pharmaceuticals
APTX,Aptinyx Inc. Common Stock,2018,234049749,550341,Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc. Common Stock,,152512176,75942,Health Care,Major Pharmaceuticals
APXT,Apex Technology Acquisition Corporation Class A Common Stock,2019,687115200,2052595,Finance,Business Services
APXTU,Apex Technology Acquisition Corporation Unit,2019,0,1788,Finance,Business Services
APXTW,Apex Technology Acquisition Corporation Warrant,2019,0,620277,Finance,Business Services
APYX,Apyx Medical Corporation Common Stock,,324582081,48084,Health Care,Medical/Dental Instruments
AQB,AquaBounty Technologies Inc. Common Stock,,562740929,2901378,,
AQMS,Aqua Metals Inc. Common Stock,2015,352982987,7756138,Basic Industries,Metal Fabrications
AQST,Aquestive Therapeutics Inc. Common Stock,2018,172805751,1117253,Health Care,Major Pharmaceuticals
ARAV,Aravive Inc. Common Stock,2014,88640836,93964,Health Care,Major Pharmaceuticals
ARAY,Accuray Incorporated Common Stock,2007,489226941,1547700,Health Care,Medical/Dental Instruments
ARBG,Aequi Acquisition Corp. Class A Common Stock,2021,292675000,235635,Finance,Business Services
ARBGU,Aequi Acquisition Corp. Unit,2020,0,376078,Finance,Business Services
ARBGW,Aequi Acquisition Corp. warrants,2021,0,19976,Finance,Business Services
ARCB,ArcBest Corporation Common Stock,,1198236328,213184,Transportation,Trucking Freight/Courier Services
ARCC,Ares Capital Corporation Common Stock,2004,7391660861,1800260,,
ARDS,Aridis Pharmaceuticals Inc. Common Stock,2018,66333141,6602,Health Care,Major Pharmaceuticals
ARDX,Ardelyx Inc. Common Stock,2014,620006955,748908,Health Care,Major Pharmaceuticals
AREC,American Resources Corporation Class A Common Stock,,91142170,1590976,Consumer Services,Other Consumer Services
ARKO,ARKO Corp. Common Stock,,1130218719,711074,Consumer Non-Durables,Food Chains
ARKOW,ARKO Corp. Warrant,,0,62499,Consumer Non-Durables,Food Chains
ARKR,Ark Restaurants Corp. Common Stock,,66020372,28396,Consumer Services,Restaurants
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,1999,648695617,564616,Energy,Coal Mining
ARNA,Arena Pharmaceuticals Inc. Common Stock,2000,4507711705,483998,Health Care,Major Pharmaceuticals
AROW,Arrow Financial Corporation Common Stock,,460405359,22855,Finance,Major Banks
ARPO,Aerpio Pharmaceuticals Inc. Common Stock,,58889574,1034443,Health Care,Major Pharmaceuticals
ARQT,Arcutis Biotherapeutics Inc. Common Stock,2020,1137114549,427891,Health Care,Major Pharmaceuticals
ARRY,Array Technologies Inc. Common Stock,2020,5366786175,1573694,Consumer Durables,Miscellaneous manufacturing industries
ARTL,Artelo Biosciences Inc. Common Stock,,14141999,2737997,Health Care,Major Pharmaceuticals
ARTLW,Artelo Biosciences Inc. Warrant,,0,17917,Health Care,Major Pharmaceuticals
ARTNA,Artesian Resources Corporation Class A Common Stock,,367286547,30805,Public Utilities,Water Supply
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,,14048460,36620,Capital Goods,Industrial Machinery/Components
ARVN,Arvinas Inc. Common Stock,2018,3496000428,638383,Health Care,Major Pharmaceuticals
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,,7989338945,719605,Health Care,Major Pharmaceuticals
ARYA,ARYA Sciences Acquisition Corp III Class A Ordinary Shares,2020,216039990,11037,Finance,Business Services
ASLE,AerSale Corporation Common Stock,2019,607483997,17405,Consumer Durables,Industrial Specialties
ASLEW,AerSale Corporation Warrants,2019,0,100617,Consumer Durables,Industrial Specialties
ASMB,Assembly Biosciences Inc. Common Stock,,183934412,1152968,Health Care,Major Pharmaceuticals
ASO,Academy Sports and Outdoors Inc. Common Stock,2020,1894485978,7824439,Consumer Services,Other Specialty Stores
ASPU,Aspen Group Inc. Common Stock,,223921879,116010,Consumer Services,Other Consumer Services
ASRT,Assertio Holdings Inc. Common Stock,,68622904,7060721,Health Care,Major Pharmaceuticals
ASRV,AmeriServ Financial Inc. Common Stock,,58169976,7541,Finance,Major Banks
ASRVP,AmeriServ Financial Inc. AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities Series A,,0,878,Finance,Major Banks
ASTC,Astrotech Corporation (DE) Common Stock,,39338904,976713,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ASTE,Astec Industries Inc. Common Stock,1986,1385047678,154033,Capital Goods,Construction/Ag Equipment/Trucks
ASUR,Asure Software Inc Common Stock,,156812068,92457,Technology,EDP Services
ASYS,Amtech Systems Inc. Common Stock,,99426626,40895,Technology,Industrial Machinery/Components
ATAX,America First Multifamily Investors L.P. Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests,,276086130,144760,Finance,Finance: Consumer Services
ATCX,Atlas Technical Consultants Inc. Class A Common Stock,2019,122681861,17784,Consumer Services,Professional Services
ATEC,Alphatec Holdings Inc. Common Stock,2006,1167752345,706244,Health Care,Medical/Dental Instruments
ATEX,Anterix Inc. Common Stock,2015,669169942,165520,Public Utilities,Telecommunications Equipment
ATHA,Athira Pharma Inc. Common Stock,2020,689010753,705745,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHX,Athersys Inc. Common Stock,,375629050,2163977,Health Care,Major Pharmaceuticals
ATLC,Atlanticus Holdings Corporation Common Stock,1995,428899370,85579,Finance,Finance: Consumer Services
ATLO,Ames National Corporation Common Stock,,208910906,25711,Finance,Major Banks
ATNF,180 Life Sciences Corp. Common Stock,2017,84912000,3134476,Health Care,Major Pharmaceuticals
ATNFW,180 Life Sciences Corp. Warrant,2017,0,139051,Health Care,Major Pharmaceuticals
ATNI,ATN International Inc. Common Stock,,697784156,61904,Public Utilities,Telecommunications Equipment
ATNX,Athenex Inc. Common Stock,2017,1208743184,1120387,Health Care,Major Pharmaceuticals
ATOM,Atomera Incorporated Common Stock,2016,641941858,548910,Technology,Semiconductors
ATOS,Atossa Therapeutics Inc. Common Stock,2012,148509577,23773875,Health Care,Major Pharmaceuticals
ATRA,Atara Biotherapeutics Inc. Common Stock,2014,1576956870,781175,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATRC,AtriCure Inc. Common Stock,2005,2588834805,393761,Health Care,Medical/Dental Instruments
ATRI,Atrion Corporation Common Stock,,1211297282,7259,Health Care,Medical/Dental Instruments
ATRO,Astronics Corporation Common Stock,,411188851,333630,Capital Goods,Military/Government/Technical
ATRS,Antares Pharma Inc. Common Stock,,731691963,963278,Health Care,Medical/Dental Instruments
ATSG,Air Transport Services Group Inc,,1579724803,1214251,Transportation,Air Freight/Delivery Services
ATVI,Activision Blizzard Inc. Common Stock,,69765818090,6665469,Technology,Computer Software: Prepackaged Software
ATXI,Avenue Therapeutics Inc. Common Stock,2017,100654296,91483,Health Care,Major Pharmaceuticals
AUB,Atlantic Union Bankshares Corporation Common Stock,,2644160965,218410,Finance,Major Banks
AUBAP,Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock Series A,,0,8114,Finance,Major Banks
AUBN,Auburn National Bancorporation Inc. Common Stock,,140368623,6375,Finance,Major Banks
AUTO,AutoWeb Inc. Common Stock,,38849152,158503,Technology,Computer Software: Programming Data Processing
AUUD,Auddia Inc. Common Stock,,,0,Technology,EDP Services
AUUDW,Auddia Inc. Warrants,,,0,Technology,EDP Services
AUVI,Applied UV Inc. Common Stock,2020,38990524,302264,Consumer Durables,Building Products
